comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
Algarrobo,5128,8849,69,261,6766,7264,162,505,15724,953,0.06063867952141082,Chile Vamos,Union Democrata Independiente,3,3316,1538,1778,46.38,53.62,16076,463,58,575,3180,5553,6062,185,12.9,12.7
Alhue,1807,3264,38,101,1962,3097,85,226,7691,739,0.09612156911785098,Unidos Por La Dignidad,Partido Democrata Cristiano,1,1764,874,890,49.55,50.45,7768,427,12,390,2375,3063,1481,20,10.8,11
Alto Biobio,1263,3265,93,140,2013,1990,199,356,6784,1500,0.2211119832696153,Unidad Por El Apruebo,Partido Por La Democracia,1,1377,664,713,48.22,51.78,6016,751,36,214,2498,1984,533,0,8.4,8.5
Alto Hospicio,14219,37299,274,977,24231,28564,664,2594,138527,21144,0.1526343951969381,Unidos Por La Dignidad,Partido Democrata Cristiano,1,38481,19380,19101,50.36,49.64,142086,5508,888,9262,37348,64848,23283,949,11.4,11.4
Alto del Carmen,1324,2679,32,69,1510,2245,94,221,5763,868,0.1506112891152991,Unidad Por El Apruebo,Partido Radical De Chile,3,1036,543,493,52.41,47.59,4788,293,10,149,1684,2040,594,18,9.5,10
Ancud,10265,21746,259,473,13729,16253,785,1537,42489,2348,0.05525791917356562,Independientes,Independientes,3,8804,4278,4526,48.59,51.41,40949,1108,230,1704,13533,15550,8637,187,10.7,11
Andacollo,4425,5192,102,186,2984,6262,190,444,11819,1235,0.1045025470539818,Independientes,Independientes,3,2445,1222,1223,49.98,50.02,11566,416,25,486,3702,4796,2125,16,10.5,10.8
Angol,7786,32045,182,520,23900,14851,465,1404,56542,5104,0.09026620950091796,Chile Vamos,Independientes-Lista Xx,1,10903,5298,5605,48.59,51.41,53022,1860,276,2654,14914,20558,12465,295,11,11.3
Antofagasta,93293,144366,1497,4348,93648,138986,3175,9972,438942,31748,0.07232800117803247,Independientes,Independientes,1,104739,52940,51799,50.54,49.46,401096,11718,2014,18122,79160,158525,128545,3012,12.8,12.6
Antuco,945,2659,26,67,1683,1748,63,175,4318,624,0.1445153956231243,Independientes,Independientes,3,961,469,492,48.8,51.2,4373,159,12,151,1494,1668,866,23,10.4,10.6
