nombre_comuna,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022
Iquique,229674,18122,0.07890380841254656
Alto Hospicio,138527,21144,0.1526343951969381
Pozo Almonte,18290,2805,0.1533439714492286
Camiña,1380,332,0.2403646850427617
Colchane,1575,350,0.222535219863316
Huara,3072,555,0.1806587194051391
Pica,6184,664,0.1073139711951238
Antofagasta,438942,31748,0.07232800117803247
Mejillones,15502,1107,0.07139740441053531
Sierra Gorda,1790,38,0.02106018445872439
Taltal,13892,1595,0.1148022160931823
Calama,194772,15861,0.08143143364954893
Ollagüe,277,24,0.08721221547732894
San Pedro De Atacama,10862,529,0.04873007866767889
Tocopilla,28296,2951,0.1042763665480032
María Elena,6647,369,0.05551379624560721
Copiapó,174693,12635,0.07232720034645454
Caldera,19782,813,0.04111121416646405
Tierra Amarilla,14407,990,0.06874896010670549
Chañaral,13094,1501,0.1146199488480459
Diego De Almagro,14082,800,0.05680425565407982
Vallenar,57266,6143,0.1072782589700814
Alto Del Carmen,5763,868,0.1506112891152991
Freirina,7790,1043,0.1338693829029102
Huasco,11485,1306,0.1137412786295817
La Serena,260599,15450,0.05928800605494077
Coquimbo,268325,18956,0.07064430845317174
Andacollo,11819,1235,0.1045025470539818
La Higuera,4508,485,0.1074879738365082
Paiguano,4695,389,0.08291957569137363
Vicuña,30247,3301,0.1091485858372039
Illapel,32965,2655,0.08052492714721493
Canela,9535,1555,0.1631210174806921
Los Vilos,24015,2030,0.08452426527605875
Salamanca,29631,2699,0.09107566551334263
Ovalle,123252,11719,0.09508512477369883
Combarbalá,13884,1527,0.1099473813298209
Monte Patria,32649,4169,0.127703937398395
Punitaqui,12396,1793,0.1446494802443967
Río Hurtado,4327,336,0.07767953788425436
Valparaíso,318916,23524,0.0737638728625354
Casablanca,30028,2468,0.08220609441285881
Concón,47320,1286,0.02717759424605647
Juan Fernández,1081,27,0.02468741376426857
Puchuncaví,20785,685,0.032935928149776
Quintero,37691,2911,0.07722161790161494
Viña Del Mar,367792,23824,0.06477586261320568
Isla De Pascua,8656,470,0.05428690418611916
Los Andes,68637,5579,0.0812767492126049
Calle Larga,17225,1205,0.06996361770481122
Rinconada,11739,953,0.08114642811420583
San Esteban,21340,1808,0.08472797179083451
La Ligua,38178,3121,0.0817521029546143
Cabildo,20747,1853,0.089311136082706
Papudo,6357,461,0.07253834912471409
Petorca,10606,481,0.04537729044804171
Zapallar,8234,355,0.04306437608327314
Quillota,99694,5282,0.05297922431878745
Calera,53820,3817,0.07091313623489373
Hijuelas,19342,1757,0.09084773723802529
La Cruz,26916,854,0.03173284322544457
Nogales,23603,1313,0.05562038074395192
