comuna,pacto,partido
ALGARROBO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
ALHUE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
ALTO BIOBIO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
ALTO DEL CARMEN,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
ALTO HOSPICIO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
ANCUD,INDEPENDIENTES,INDEPENDIENTES
ANDACOLLO,INDEPENDIENTES,INDEPENDIENTES
ANGOL,CHILE VAMOS,INDEPENDIENTES-LISTA XX
ANTARTICA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
ANTOFAGASTA,INDEPENDIENTES,INDEPENDIENTES
ANTUCO,INDEPENDIENTES,INDEPENDIENTES
ARAUCO,INDEPENDIENTES,INDEPENDIENTES
ARICA,FRENTE AMPLIO,PARTIDO LIBERAL DE CHILE
AYSEN,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
BUIN,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
BULNES,INDEPENDIENTES,INDEPENDIENTES
CABILDO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
CABO DE HORNOS(EX-NAVARINO),UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
CABRERO,INDEPENDIENTES,INDEPENDIENTES
CALAMA,CHILE DIGNO VERDE Y SOBERANO,FEDERACION REGIONALISTA VERDE SOCIAL
CALBUCO,INDEPENDIENTES,INDEPENDIENTES
CALDERA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
CALERA,INDEPENDIENTES,INDEPENDIENTES
CALERA DE TANGO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
CALLE LARGA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
CAMARONES,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
CAMIÑA,INDEPENDIENTES,INDEPENDIENTES
CANELA,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
CARAHUE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
CARTAGENA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
CASABLANCA,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
CASTRO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
CATEMU,INDEPENDIENTES,INDEPENDIENTES
CAUQUENES,INDEPENDIENTES,INDEPENDIENTES
CAÑETE,CHILE VAMOS,RENOVACION NACIONAL
CERRILLOS,INDEPENDIENTES,INDEPENDIENTES
CERRO NAVIA,INDEPENDIENTES,INDEPENDIENTES
CHAITEN,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
CHANCO,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
CHAÑARAL,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
CHEPICA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
CHIGUAYANTE,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
CHILE CHICO,INDEPENDIENTES,INDEPENDIENTES
CHILLAN,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
CHILLAN VIEJO,INDEPENDIENTES,INDEPENDIENTES
CHIMBARONGO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
CHOLCHOL,INDEPENDIENTES,INDEPENDIENTES
CHONCHI,CHILE VAMOS,RENOVACION NACIONAL
CISNES,CHILE VAMOS,RENOVACION NACIONAL
COBQUECURA,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
COCHAMO,INDEPENDIENTES,INDEPENDIENTES
